k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
12.4,1,40,20,21.3333333333333,3.09090909090909,22.8571428571429,5.78947368421053,8,5,0,20.1666666666667,278,410
7.6,0.866666666666667,0,17.6,25.3333333333333,6.18181818181818,24.2857142857143,6,44,4.33333333333333,0,27.5,498,646
10.4,1.4,20.625,16,10.6666666666667,9.45454545454546,18.5714285714286,6.31578947368421,8,4.33333333333333,0,31.1666666666667,552,731
10,0.333333333333333,41.25,14.4,7.33333333333333,9.27272727272727,15.7142857142857,6.31578947368421,36,3,0,31.1666666666667,708,808
9.6,1.23333333333333,0,16.8,26,3.09090909090909,19.2857142857143,5.78947368421053,20,3,0,27.5,639,774
10,0.533333333333333,0,10.4,11.3333333333333,0,14.2857142857143,6.42105263157895,20,2.66666666666667,0,27.5,623,877
13.2,1.7,0,6.4,18,0,15,5.68421052631579,28,3,0,14.6666666666667,430,613
12.4,0.833333333333333,0,23.2,24.6666666666667,3.09090909090909,27.1428571428571,5.68421052631579,8,1.66666666666667,0,56.8333333333333,316,487
9.6,1.16666666666667,0,16.8,3.33333333333333,2.90909090909091,16.4285714285714,5.57894736842105,0,3,0,25.6666666666667,481,865
11.2,1.23333333333333,20.625,16.8,14.6666666666667,9.45454545454546,18.5714285714286,5.57894736842105,8,3.33333333333333,4,27.5,615,624
10,0.5,0,20.8,7.33333333333333,6.18181818181818,19.2857142857143,6.21052631578947,8,5,0,20.1666666666667,616,1048
13.2,0.866666666666667,0,10.4,28.6666666666667,6.18181818181818,22.8571428571429,5.47368421052632,16,2.66666666666667,0,42.1666666666667,745,1143
10.4,0.5,39.375,12.8,14,0,15.7142857142857,5.36842105263158,0,2.66666666666667,0,31.1666666666667,726,1333
11.6,1.16666666666667,19.375,14.4,6.66666666666667,0,11.4285714285714,6,36,2.33333333333333,0,31.1666666666667,493,950
14.4,1.73333333333333,0,24,18,3.09090909090909,27.1428571428571,5.68421052631579,56,4.33333333333333,0,47.6666666666667,410,780
13.2,1.73333333333333,0,29.6,4,6.18181818181818,17.8571428571429,6.10526315789474,56,3.66666666666667,0,75.1666666666667,646,1283
15.6,1.36666666666667,20.625,24,32.6666666666667,3.09090909090909,24.2857142857143,6.63157894736842,44,2.66666666666667,0,47.6666666666667,731,1544
