k1,k2,k4,k7,k8,k9,k11,k12,k13,num
20.8,1,64.8,32.8571428571429,10.5263157894737,132,16,88,6.75714285714286,5335
20.8,1,60,38.5714285714286,10.5263157894737,148,0,133.833333333333,11,5562
18,1.2,47.2,31.4285714285714,10,140,4,93.5,9.11428571428571,5664
18.8,1.86666666666667,42.4,33.5714285714286,8.8421052631579,104,16,122.833333333333,8.95714285714286,5057
18.4,1.13333333333333,28.8,16.4285714285714,7.15789473684211,68,4,78.8333333333333,6.44285714285714,4726
18.4,1.43333333333333,29.6,37.1428571428571,8.21052631578947,132,4,58.6666666666667,0,3990
20.8,1.5,48,46.4285714285714,7.15789473684211,148,8,62.3333333333333,6.75714285714286,2763
17.2,1.3,49.6,30.7142857142857,9.26315789473684,112,4,75.1666666666667,2.2,3853
16,1,44.8,31.4285714285714,6.63157894736842,148,4,77,2.2,3974
17.2,1.3,39.2,41.4285714285714,7.57894736842105,136,0,86.1666666666667,8.95714285714286,4131
14.8,1.53333333333333,42.4,25.7142857142857,6.84210526315789,116,8,58.6666666666667,0,3538
12.4,0.666666666666667,27.2,23.5714285714286,6,96,8,40.3333333333333,0,3342
16.8,1.46666666666667,32,20.7142857142857,6.31578947368421,52,4,69.6666666666667,2.2,2673
15.6,1.3,38.4,29.2857142857143,5.78947368421053,104,4,80.6666666666667,0,1793
13.6,0.833333333333333,48,27.1428571428571,5.89473684210526,96,0,51.3333333333333,4.4,2324
14.4,0.866666666666667,35.2,27.8571428571429,7.78947368421053,124,4,47.6666666666667,4.55714285714286,2634
9.2,1,40.8,36.4285714285714,7.26315789473684,96,16,62.3333333333333,6.91428571428571,2578
13.2,0.833333333333333,35.2,57.8571428571429,6,124,12,47.6666666666667,9.11428571428571,2370
11.6,0.666666666666667,24,28.5714285714286,5.89473684210526,120,12,55,6.44285714285714,2277
13.6,0.666666666666667,23.2,20.7142857142857,5.68421052631579,84,11,75.1666666666667,4.4,1630
16,0.333333333333333,36,35,5.89473684210526,88,20,45.8333333333333,11.3142857142857,1217
12.8,0.666666666666667,31.2,32.8571428571429,5.78947368421053,108,28,20.1666666666667,6.75714285714286,1568
11.6,0.666666666666667,32,21.4285714285714,6,88,20,25.6666666666667,4.55714285714286,1886
13.6,1.8,20.8,14.2857142857143,6.52631578947368,104,11,25.6666666666667,2.2,1690
9.2,0.833333333333333,24,26.4285714285714,5.78947368421053,148,0,25.6666666666667,6.75714285714286,1300
8.4,0,17.6,17.8571428571429,5.36842105263158,120,8,49.5,2.2,1360
13.2,1.3,14.4,15,4.73684210526316,76,4,14.6666666666667,4.24285714285714,1362
10,0.966666666666667,24,21.4285714285714,5.15789473684211,156,11,34.8333333333333,0,965
7.6,0.333333333333333,26.4,22.8571428571429,4.94736842105263,124,12,14.6666666666667,2.2,1308
10.4,1.2,25.6,31.4285714285714,5.89473684210526,292,8,25.6666666666667,2.2,1448
11.6,0.866666666666667,24.8,29.2857142857143,5.36842105263158,188,8,36.6666666666667,2.2,1536
6,0.333333333333333,22.4,20.7142857142857,5.26315789473684,116,20,11,9.11428571428571,1301
9.6,0,16.8,10,5.15789473684211,116,0,36.6666666666667,4.55714285714286,1233
11.2,0.333333333333333,17.6,17.8571428571429,4.94736842105263,148,0,14.6666666666667,6.6,1032
9.6,0.5,19.2,18.5714285714286,4.84210526315789,156,4,11,2.2,740
9.6,0.966666666666667,20,20,6.21052631578947,92,0,14.6666666666667,2.2,1081
9.2,1.36666666666667,20,13.5714285714286,5.47368421052632,144,4,25.6666666666667,4.55714285714286,921
10,0.5,22.4,30,5.05263157894737,160,0,36.6666666666667,6.75714285714286,1076
8.8,0.5,24,21.4285714285714,4.10526315789474,96,0,11,0,1054
7.2,0.333333333333333,17.6,18.5714285714286,4.94736842105263,80,4,20.1666666666667,4.55714285714286,1213
9.2,0.5,14.4,10.7142857142857,4.73684210526316,24,4,14.6666666666667,0,999
10,1.16666666666667,25.6,15,4.10526315789474,156,4,14.6666666666667,2.2,698
7.6,0.333333333333333,20.8,25.7142857142857,4.42105263157895,76,8,5.5,2.2,888
7.6,0.866666666666667,25.6,23.5714285714286,4.94736842105263,88,12,20.1666666666667,0,1243
9.2,0.166666666666667,18.4,25.7142857142857,4.84210526315789,104,20,20.1666666666667,2.2,1169
9.6,0.666666666666667,20.8,21.4285714285714,4.94736842105263,148,27,11,4.4,1148
7.6,0.666666666666667,12.8,12.1428571428571,4.31578947368421,44,8,20.1666666666667,2.2,1050
7.6,0.5,14.4,7.85714285714286,4.42105263157895,76,4,25.6666666666667,4.4,1064
8,0.633333333333333,23.2,20.7142857142857,4,108,15,20.1666666666667,0,600
8.8,0.333333333333333,23.2,26.4285714285714,4.42105263157895,120,16,31.1666666666667,4.4,1127
7.6,0.5,20.8,16.4285714285714,4.63157894736842,72,56,36.6666666666667,4.4,1313
8.4,0.333333333333333,20,21.4285714285714,4.21052631578947,116,44,16.5,0,1317
8,0.666666666666667,20,17.1428571428571,3.89473684210526,176,16,25.6666666666667,2.2,1271
9.2,0.666666666666667,16,21.4285714285714,3.78947368421053,96,23,29.3333333333333,0,1319
8.8,0.633333333333333,16.8,18.5714285714286,4.73684210526316,92,15,0,0,987
8.8,0.433333333333333,29.6,27.1428571428571,4.10526315789474,104,34,38.5,3.77142857142857,695
9.2,0.566666666666667,22.4,20.7142857142857,3.78947368421053,132,30,22,1.88571428571429,1133
9.6,0.833333333333333,22.4,28.5714285714286,4,96,28,45.8333333333333,2.2,1533
8.4,0.166666666666667,26.4,25.7142857142857,4.10526315789474,104,28,20.1666666666667,2.2,1497
8.4,1.16666666666667,23.2,19.2857142857143,3.89473684210526,124,39,25.6666666666667,4.4,1463
10,0,18.4,15,4.31578947368421,44,8,25.6666666666667,0,1516
10,0.933333333333333,19.2,15,3.89473684210526,16,25,33,0,1118
10,0.833333333333333,25.6,22.8571428571429,3.57894736842105,68,16,20.1666666666667,8.8,816
6,0.8,23.2,17.8571428571429,3.78947368421053,92,23,25.6666666666667,0,1500
9.6,1.66666666666667,29.6,24.2857142857143,3.78947368421053,68,31,34.8333333333333,2.2,1917
8.8,0.666666666666667,28,16.4285714285714,3.78947368421053,84,23,20.1666666666667,2.2,1915
10,1.63333333333333,23.2,20,3.57894736842105,36,31,51.3333333333333,0,2025
10.4,1,17.6,10,3.89473684210526,44,16,42.1666666666667,6.75714285714286,2071
11.6,0.8,24,11.4285714285714,3.89473684210526,60,23,14.6666666666667,0,1782
12.4,0.333333333333333,31.2,18.5714285714286,3.78947368421053,136,11,44,2.2,1345
13.2,0.8,34.4,26.4285714285714,4,104,31,49.5,0,2087
13.6,1.5,33.6,34.2857142857143,4,104,31,34.8333333333333,2.2,2843
12.8,1.16666666666667,25.6,21.4285714285714,4.31578947368421,140,47,45.8333333333333,4.4,2605
12.4,0.966666666666667,28.8,17.8571428571429,3.78947368421053,104,38,55,0,2757
11.2,0.333333333333333,23.2,15,4,96,28,20.1666666666667,0,2772
14.4,0.466666666666667,21.6,13.5714285714286,4.21052631578947,84,15,47.6666666666667,4.08571428571429,2468
10.4,0.333333333333333,32,27.1428571428571,3.89473684210526,400,43,75.1666666666667,0,1572
11.6,1,40,22.1428571428571,4.31578947368421,132,79,77,2.2,2668
12.8,1.2,40.8,25,4.42105263157895,188,100,124.666666666667,2.2,3449
14.4,0.7,32.8,31.4285714285714,4.94736842105263,152,68,84.3333333333333,2.2,3498
